案例标题,案例编号,公司,DOI,学科,行业,案例来源,案例类型,适用对象,出版时间,第一作者,其他作者,语种,关键字,案例标签,文章页数,教参页数,案例摘要
李子柒成长的烦恼：不识股权架构套路的网红,FDC-22011-1X-CC,四川子柒文化传播有限公司,doi.org/10.12156/FUDAN.CASE202201101,综合管理,艺术/娱乐/体育/休闲,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2022-08-30,唐跃军,,中文,"李子柒,MCN,创业,组织架构,股权分配",中国式现代化,15,13,古风短视频网红李子柒创作的视频展现了中国的乡土生活，在海内外“圈粉无数”，李子柒也因此成为一个具有强大商业价值的商标。一边是中学未毕业对公司治理、股权架构知之甚少的视频创作者“李子柒”，一边是被杭州微念品牌管理有限公司建构、年营收超过16亿、估值50亿的商业IP“李子柒”，双方应该如何通过股权架构实现合作双赢？
联易融：创新供应链金融服务模式,FDC-22012-1X-CC,联易融数字科技集团,doi.org/10.12156/FUDAN.CASE202201201,"金融与财务,综合管理",金融/保险,复旦大学管理学院,标准案例,"MBA,EMBA",2022-09-30,陈祥锋 ,张洁友,中文,"联易融,科技金融,财务管理,供应链金融","科创,数字中国",14,19,随着数字科技的发展，供应链金融服务提供商的运营模式也在发生变化。本案例以联易融客户东海银行的业务困扰作为切入点，通过回顾联易融供应链金融服务的发展经历，重点描述其创新的供应链金融科技SaaS模式及SaaS模式与平台模式的差异，探讨联易融为不同客户定制产品的支撑手段、风险及未来挑战。
飞书：组织协同管理新平台,FDC-22013-1X-CC,字节跳动,doi.org/10.12156/FUDAN.CASE202201301,信息技术,专业/科学/技术服务,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2022-09-30,胥正川,张洁友,中文,"飞书,协同办公,组织升级,数字化转型","科创,数字中国",17,10,飞书是字节跳动旗下一款协同办公工具。近年来，飞书从起初的互联网、科技、媒体三大圈层逐步向其他行业拓展，聚焦组织升级。然而面对钉钉和企业微信两大市场巨头，飞书依然需要对产品的定位、差异性以及未来发展方向做持续优化和提升。
达闼科技的知识产权布局,FDC-22014-1X-CC,达闼科技（北京）有限公司,doi.org/10.12156/FUDAN.CASE202201401,"创新创业,综合管理",新一代信息技术,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2022-09-30,卢向华 ,张春依，王玉洁,中文,"达闼科技,知识产权,专利管理,创业管理,云端机器人",科创,20,12,达闼科技由“小灵通之父”黄晓庆于2015年在北京创办，致力于提供云端智能机器人产品和服务。云端机器人的技术涉及通信、区块链、计算机视觉等前沿且复杂的领域，涉及多种领域的知识产权。达闼科技如何将知识产权布局与战略结合，又如何激励研发人员创造并夯实知识产权竞争壁垒？
上海细胞健康业务营销增长的战略选择,FDC-22016-1X-CC,上海细胞治疗集团,doi.org/10.12156/FUDAN.CASE202201601,"创新创业,市场营销",生物技术/大健康,复旦大学管理学院,标准案例,"MBA,高层管理",2022-09-30,张喆 ,张春依，刘心怡，潘慧润,中文,"上海细胞,客户生命周期,客户获取,客户体验,营销增长","科创,中国式现代化",25,22,上海细胞治疗集团成立于2013年，是在上海市科委批准建立的市级工程技术研究中心基础上建立的高科技公司。集团于2016年推出“白泽计划”，用行动推动建设细胞保存库、细胞药物研发平台和细胞药物临床医院。上海细胞集团的健康业务该如何获取新客户，如何建设销售渠道，如何管理客户体验，如何实现全生命周期的用户管理？本案例通过对上海细胞健康业务营销的回顾和讨论，为高科技生物医药产品的营销增长与品牌战略提供借鉴。
上海市眼病防治中心的社区健康智能化管理,FDC-22017-1X-CC,上海市眼病防治中心,doi.org/10.12156/FUDAN.CASE202201701,服务管理,生物技术/大健康,复旦大学管理学院,标准案例,MBA,2022-09-30,李文文,孙雅慧，张忆惠，凌鸿,中文,"眼病防治,社区健康,数字化转型,技术消化,营销管理",数字中国,18,10,上海市眼病防治中心，负责上海市各个社区的眼病筛查工作。市眼防注意到社区眼病筛查面临的困境，包括社区医生专业知识不足、远程诊疗耗时过长等问题，因而积极引进基于人工智能的疾病筛查设备辅助社区眼病筛查，并探索社区智慧健康管理新模式。在人工智能技术和设备引进过程中，市眼防在技术采纳阶段要如何论证人工智能技术的可行性和价值？在技术落地阶段，市眼防要如何完成设备采购、试点社区选择、流程制定？在技术推广阶段，如何解决居民对技术的不信任、社区医院盈利以及权责分配？这都是中心面临的挑战。
信也科技：金融科技企业的非连续战略更新,FDC-22018-1X-CC,上海光简信息技术有限公司,doi.org/10.12156/FUDAN.CASE202201801,"创新创业,战略",金融/保险,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2022-09-30,李玲芳,伏啸，罗雨辰，张洁友,中文,"转型,战略,企业管理","科创,数字中国",17,19,作为在证券交易所上市的中国第一家网络信用贷款平台，拍拍贷于2019年更名为信也科技（FinVolution Group）。在国家对P2P行业加强监管、全面清退的过程中，绝大多数P2P平台或惨淡离场，或破产倒闭，信也科技却从未出现过爆雷事件，并在2020年年底从P2P平台转型成为一家主营助贷业务的金融科技公司。面对尚未被满足的市场借款需求、与对手的错位竞争以及行业监管政策的变化，信也科技是如何转型成功的？此外，本案例还探讨了数字化技术对信也科技战略实施的影响，以及未来发展。
eBay CCOE，不可能完成的任务,FDC-22019-1X-CC,eBay中国研发中心,doi.org/10.12156/FUDAN.CASE202201901,"人力资源,组织行为",互联网/信息/通讯,复旦大学管理学院,标准案例,MBA,2022-10-30,吴冬媛,张春依,中文,"eBay中国,临时团队,员工激励,家长式领导力",科创,16,16,创立于1995年美国加利福尼亚州的eBay是跨国电子商务巨头，eBay中国研发中心（CCOE）是其重要的海外研发中心。在中国互联网企业对人才展开激烈角逐的近十年，eBay CCOE在现任总经理田卫女士的领导下，在团队建设方面取得成就，其中一个硕果就是本案例的主人公，资深工程师Paul所在的团队。Paul要如何领导一支由劳务派遣员工组建的临时团队，完成总部屡试屡败的ebay系统整体迁移项目呢？
紫光展锐的组织变革之路,FDC-22020-1X-CC,紫光展锐（上海）科技有限公司,doi.org/10.12156/FUDAN.CASE202202001,组织行为,新一代信息技术,复旦大学管理学院,标准案例,"MBA,高层管理",2022-11-15,刘圣明,卢向华，张春依，王玉洁,中文,"紫光展锐,组织变革,科创企业,芯片行业,领导者",科创,26,21,紫光展锐是全球五大芯片设计商之一，由展讯通信和锐迪科合并重组而成。外部积极的宏观政策和高端芯片市场需求的激增为紫光展锐的发展提供了机遇。然而紫光集团在并购后经营遇到了危机，业绩接连下滑、内部的管理问题逐渐显现。CEO楚庆为解决公司存在内部战略不清晰、管理混乱、文化缺失等各类问题，对公司进行了一些列组织变革。案例探索了紫光展锐一系列变革的原因、战略、挑战及影响。
林清轩：新国货品牌如何在红海市场突围,FDC-22021-1X-CC,上海清轩生物科技有限公司,doi.org/10.12156/FUDAN.CASE202202101,"战略,市场营销",贸易/批发/零售,复旦大学管理学院,标准案例,"MBA,高层管理",2022-11-15,肖莉,于佳平,中文,"林清轩,新国货,营销战略,品牌管理,直播",中国式现代化,23,16,中国的护肤品市场竞争激烈，品牌数以万计，其中中高端长期被欧美日韩品牌所垄断。本案例描述了新国货林清轩的品牌发展历程，创始人孙来春在自创品牌、产品选择、生产线选择、渠道选择、品牌塑造等方面经历的一系列艰难决策，由此探讨新国货品牌如何在外资品牌虎狼环伺的红海中突围并持续提升品牌竞争力的路径。
飞凡汽车的品牌重塑,FDC-22022-1X-CC,上汽集团,doi.org/10.12156/FUDAN.CASE202202201,市场营销,新能源,复旦大学管理学院,标准案例,"MBA,高层管理",2022-11-15,徐倩,张洁友,中文,"上汽集团,新能源汽车,品牌定位,用户,竞争",科创,17,11,面对新能源汽车的剧烈冲击，以上汽集团为代表的传统汽车制造商尽管仍然占据市场主导地位，但感受到的威胁与日俱增，传统车企除了在技术上继续谋求创新和改革外，通过品牌升级以符合新兴目标消费者对消费形象的要求也刻不容缓，上汽旗下独立运营的飞凡汽车即是一次尝试。
Tableau面临的收购要约,FDC-22024-1X-CC,Tableau Software,doi.org/10.12156/FUDAN.CASE202202301,战略,互联网/信息/通讯,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-12-20,于佳良,张春依,中文,"云计算,BI,并购,Salesforce,Tableau",科创,24,0,Tableau Software作为商业智能领域的引领者，凭借产品的易用性和友好的交互性获得了全世界范围内用户的青睐。然而，随着竞争的加剧，Tableau没能保持领先优势。此时，云服务巨头Salesforce向其发出收购要约，Tableau该怎么办？
华熙生物的新业务,FDC-22025-1X-CC,华熙生物公司,doi.org/10.12156/FUDAN.CASE202202401,"创新创业,战略",生物技术/大健康,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-01-20 11:41:03,陈扬波,,中文,"华熙生物,玻尿酸,产品战略,创新",科创,5,0,玻尿酸是一种来源于动物结缔、上皮以及神经组织的直链多糖物质，应用于医疗美容领域。华熙生物公司通过自主技术研发创新而实现量产玻尿酸，从而使得这家山东企业一跃成为全球玻尿酸原材料产量最大的企业。华熙生物不满足于玻尿酸原料产品在医疗美容市场的霸主地位，而是希望发挥玻尿酸技术优势，推出玻尿酸化妆品和保健食品自有品牌，进军下游的消费用户市场。华熙生物的新业务能成功吗？
RTI公司的医用机器人挑战,FDC-22026-1X-CC,RTI,doi.org/10.12156/FUDAN.CASE202202501,"创新创业,市场营销",新一代信息技术,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-01-20 11:30:51,陈扬波,,中文,"RTI,医用机器人,市场营销",科创,6,0,RTI公司是一家位于美国的工业物联网连接系统和自动化服务创新公司。医用机器人是RTI公司未来重点布局的为数不多的硬件产品服务之一。医用机器人是指被应用于医疗机构和医疗场景，具备自主操作系统和自动化能力，能够从事医疗作业或辅助医疗服务的机器人及自动化系统。和传统手术相比，医用外科手术机器人具有技术和性能方面的创新优势，但需要面对成本、安全等诸多挑战，RTI公司该如何做好产品营销推广？
宁德时代的“巧克力”,FDC-22027-1X-CC,宁德时代,doi.org/10.12156/FUDAN.CASE202202601,创新创业,新能源,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-05-20 01:17:32,陈扬波,,中文,"宁德时代,商业模式,战略,电池",科创,7,0,宁德时代是动力电池及新能源储能系统的提供商，占据全球电动汽车动力电池市场份额的32%，中国市场的52%。相对于较成熟的电池和电机动力系统，电动汽车产业一直在试图解决电动车充电和用电的服务配套问题，以特斯拉和比亚迪为代表的大部分电动汽车都采用了传统的充电桩供电模式。2022年1月，宁德时代突然宣布推出换电服务品牌EVOGO及组合换电整体解决方案，进入C端换电市场，通过提供换电站和“巧克力”式的可更换电池，为其他品牌电动车用户提供第三方换电服务。
奥动新能源的知识产权之路,FDC-22028-1X-CC,奥动新能源汽车科技有限公司,doi.org/10.12156/FUDAN.CASE202202701,信息技术,新能源,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-05-26 11:03:00,王雷,张洁友,中文,"奥动,专利布局,PCT,专利质押贷款,知识产权",科创,11,0,奥动新能源自2000年起一直专注换电技术研发，拥有1300多项专利，积极参与多项换电行业标准制定工作。在公司发展过程中，知识产权一直受到高层重视，并已成为驱动其主业发展的重要力量。但随着行业快速成长和竞争加剧，奥动新能源的技术专利正受到威胁，这给其知识产权管理带来新的挑战。
科奇：海外技术并购中的知识产权困局,FDC-22029-1X-CC,科奇公司,doi.org/10.12156/FUDAN.CASE202202801,"信息技术,国际商务",新材料,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-05-26 03:42:34,王雷,卢向华，张洁友,中文,"科奇,知识产权,专利布局,技术消化,海外技术并购",科创,7,0,科奇是一家本土机器人企业，为弥补技术短板并购了意大利M公司，初衷是想通过技术并购缩短研发时间，抓住机会把握自动化行业发展的风口，但在并购后的知识产权转让和技术消化过程中遇到了一系列意想不到的难题……
零幺宇宙：与科研院所合作的知识产权边界,FDC-22030-1X-CC,零幺宇宙(上海)科技有限公司,doi.org/10.12156/FUDAN.CASE202202901,"创新创业,信息技术",新一代信息技术,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-05-26 03:47:35,王雷,张洁友,中文,"零幺宇宙,科研院所,技术合作,知识产权,边界",科创,10,0,零幺宇宙是一家以区块链和隐私计算技术为基础提供数据可信治理、数字资产产品的初创型高科技公司。从创立到发展，零幺宇宙一直与科研院所保持紧密合作，并且在技术和业务方面取得了一些成绩。但由于公司的市场化定位与科研院所的非营利性质迥异，如何在合作过程中厘清知识产权边界，成为现实又紧迫的难题。
丁苯酞四十载知产保护之路,FDC-22031-1X-CC,石药控股集团有限公司,doi.org/10.12156/FUDAN.CASE202203001,创新创业,生物技术/大健康,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-05-26 04:38:29,张春依,王雷,中文,"知识产权,创新药,出海,石药集团,丁苯酞",科创,10,0,因历史原因缺乏分子式核心专利的情况下，医药企业如何保护围绕该分子式创新药物的知识产权？本案例通过复盘石药集团丁苯酞四十年的知识产权保护之路，提供借鉴。
锐发的联合实验室模式,FDC-22032-1X-CC,苏州锐发打印技术有限公司,doi.org/10.12156/FUDAN.CASE202203101,"创新创业,人力资源",专业/科学/技术服务,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-05-26 05:28:03,王雷,张杏，张洁友,中文,"锐发,知识产权,专利,技术合作,联合实验室",科创,11,0,锐发是一家科学家创业、为数字制造提供打印解决方案的科技型公司，创始人谢永林基于自身的科研背景与经验，与中科院苏州纳米研究所、姑苏实验室分别成立了联合实验室进行技术研发，并取得100多项专利。但谢永林也发现，对于将来要走上公开资本市场的锐发来说，联合实验室模式存在一些特定风险亟待解决。
空降CEO如何启动变革,FDC-22033-1X-CC,紫光展锐（上海）科技有限公司,doi.org/10.12156/FUDAN.CASE202203201,组织行为,新一代信息技术,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2023-07-13,张春依,,中文,"紫光展锐,组织变革,科创企业,芯片行业",科创,5,0,2018年，楚庆空降，出任全球头部芯片设计公司紫光展锐CEO，摆在楚庆面前的展锐，由锐迪科和展讯两家行业翘楚合并而成，但他认为企业存在战略、文化、产品和运营的诸多问题，面临被头部竞争对手越甩越远的危机。空降CEO如何实现组织变革以改善企业经营呢？
长合信息该进军地铁运维服务吗？,FDC-22034-1X-CC,上海长合信息技术股份有限公司,doi.org/10.12156/FUDAN.CASE202203301,"创新创业,战略",互联网/信息/通讯,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-06-30 04:46:13,张洁友,,中文,"长合信息,地铁,战略,商业模式,设备,运维服务",科创,9,0,上海长合信息技术股份有限公司成立于2009年，主要为地铁轨道交通提供光纤传输、无线通信及集群、公务电话及专用调度、应急指挥等设备与服务，属于交通信息技术及相关服务行业。经历十多年发展后，长合信息已成为上海、苏州等城市地铁通讯设备的重要提供商。创始人黄学军判断，尽管设备销售目前是公司主营业务，但地铁运维服务将来有更大的潜力，而后者也意味着需要更多资源和人力投入。长合信息该进军地铁运维服务吗？
深蓝易充：新能源汽车充电的“快递员”,FDC-22035-1X-CC,深蓝易充（上海）新能源发展有限公司,doi.org/10.12156/FUDAN.CASE202203401,战略,新能源,复旦大学管理学院,标准案例,"MBA,EMBA",2023-07-13,窦一凡,李晨曦,中文,"深蓝易充,新能源,品牌定位,产品战略",科创,13,13,"随着新能源汽车保有量的增长，充电基础设施行业也进入规模化增长阶段，不少企业纷纷为新能源汽车充电提供解决方案，魏文深创办的深蓝易充（上海）新能源发展有限公司是其中的后来者，其拳头产品""送来电""将传统的“车找桩”模式转变为“桩找车”模式。魏文深认为“送来电”能否成功取决于两点，一是能否捕捉新能源车车主的痛点，二是能否将高质量的服务价值变现。深蓝易充在不断探索适合自己的商业模式。"
绿叶制药的知识产权战略,FDC-22036-1X-CC,绿叶制药,doi.org/10.12156/FUDAN.CASE202203501,"战略,国际商务",生物技术/大健康,复旦大学管理学院,短案例,"MBA,EMBA,高层管理",2022-08-12 06:08:39,王雷,陈扬波，张春依,中文,"绿叶制药,知识产权,新药研发,国际化",科创,12,0,绿叶制药集团在20年间逐步拓展成为以天然药物、新型制剂及生物技术产品的综合性医药研发、生产及销售企业，国际化和自主研发是其重要发展战略。在绿叶制药的国内外并购与合作开拓过程中，其知识产权部门，该如何在全球布局知识产权，以支持绿叶的自主研发转型与国际化发展？
奈尔宝：如何持续增长？,FDC-22037-1X-CC,上海奈尔宝娱乐有限公司,doi.org/10.12156/FUDAN.CASE202203601,服务管理,艺术/娱乐/体育/休闲,复旦大学管理学院,标准案例,"MBA,高层管理",2023-07-13,徐倩,王玉洁,中文,"奈尔宝,品牌策略,市场营销",,28,15,2017年成立的奈尔宝是近年来崛起的室内大型儿童乐园，其首家门店达5000平方米，是当时全国最大的室内儿童乐园，被称作“儿童乐园中的迪士尼和爱马仕”，改变了家长们对商场内儿童乐园“老破小”的刻板印象。截至2021年，奈尔宝已经获得了3轮融资，门店遍布全国。奈尔宝的品牌策略是什么，满足了客户哪些需求，又该如何实现持续增长？
中晟：供应链票据创新实践者,FDC-22038-1X-CC,中晟供应链有限公司,doi.org/10.12156/FUDAN.CASE202203701,金融与财务,金融/保险,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2023-07-13,陈祥锋,张洁友,中文,"中晟,供应链金融,票据,数字债券凭证,金融科技,商业模式",数字中国,17,14,中晟最初从事助贷、保理、票据、典当等传统金融服务，2013年开始，中晟研发用于电子银票交易的信息系统，并不断完善，形成票据管理系统、供应商管理系统、供应链金融系统为一体的平台。中晟为何要进入票据市场，提供了怎样的供应链服务？在与信单类平台竞争中，中晟又有何优势？在巨大却刚起步的供应链票据市场，中晟要如何一边完成市场教育一边持续发展？
信邦：信息化引导的管理变革,FDC-23001-1X-CC,信邦制药,doi.org/10.12156/FUDAN.CASE202300101,"综合管理,信息技术",生物技术/大健康,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2023-07-13,邵翔 ,李玲芳，李卓派，张洁友,中文,"信邦,信息化,医院信息系统,管理变革,民营医院",中国式现代化,14,13,民营医院发展面临技术人才短缺、服务力量薄弱、融资困难、抗风险能力不足、发展空间受限等诸多问题，提高服务细致度是其求得发展的突破口。本案例以创业板上市公司信邦制药旗下医院的信息化建设为切入点，通过展示医院在信息化建设过程中实现管理升级的过程，描述了在医药体制改革和智慧医疗时代，医疗服务机构依靠信息化提高管理效率的途径，重点探讨了医院信息化建设过程中面临的挑战。
卫圣康：高端医疗器械企业的产品研发路径,FDC-23002-1X-CC,卫圣康医学科技（江苏）有限公司,doi.org/10.12156/FUDAN.CASE202300201,"创新创业,战略",生物技术/大健康,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2023-07-13,孙金云,李亚男,中文,"卫圣康,研发模式,科创企业,全球化战略,数字医疗","科创,中国式现代化",22,17,卫圣康作为一家聚焦高端医疗设备的科创型企业，通过全球技术团队合作、攻克研发难题、缩短研发周期，逐渐发展壮大并赢得资本市场青睐。面对卫圣康追求更大市场份额和未来发展空间以及科创板上市的目标，企业应该如何在变幻莫测的国际环境下将产品研发策略有效执行？科创企业产品的研发路径、创新模式应如何建立和完善？如何规划协调好多个产品研发、生产以及销售的节奏？
文远知行：自动驾驶技术供应商的商业化探索,FDC-23003-1X-CC,文远知行,doi.org/10.12156/FUDAN.CASE202300301,信息技术,新一代信息技术,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2023-07-13,卢向华,王玉洁,中文,"文远知行,自动驾驶,铁三角,商业模式",科创,25,10,与许多科技创业者不同，无人驾驶技术公司文远知行创始人韩旭一直注重技术的实际应用和商业化的重要性。文远知行在行业内首创了“铁三角”运营模式，联合不同性质的合作伙伴先后推出Robotaxi、Mini Robobus、Robovan和Robo Street Sweeper等产品。文远知行要如何商业化落地？如何保持技术优势？未来企业要如何定位？
盛业：从商业保理到供应链科技平台的探索,FDC-23004-1X-CC,盛业资本有限公司,doi.org/10.12156/FUDAN.CASE202300401,运营与管理科学,金融/保险,复旦大学管理学院,标准案例,"MBA,EMBA",2023-07-13,陈祥锋,张洁友,中文,"盛业,保理,供应链金融,金融科技",科创,16,10,盛业是一家快速成长的供应链科技平台，主要致力于运用产业科技赋能数字金融，深耕基建、医疗和能源三大行业为中小微企业提供灵活的供应链金融服务。但面对未来业务的众多可能性，盛业如何在产业数字化的背景下落地“双驱动+大平台”战略，形成独特的业务模式？
创屹科技：大数据驱动的智能体育产品探索者,FDC-23005-1X-CC,创屹科技,doi.org/10.12156/FUDAN.CASE202300501,信息技术,高端装备,复旦大学管理学院,标准案例,MBA,2023-07-13,李根,赵曜，陈扬波,中文,"创屹科技,人工智能,人机交互,体感游戏",科创,13,14,创屹科技在乒乓球运动这一细分领域提供了切实且技术领先的机器人解决方案，但耗费巨资研发的产品只能应用于很小的某个高度特殊化的场景，推广成为问题。创屹科技要如何在乒乓球运动市场中进行技术革新？颠覆性产品是如何被客户所接受的？创屹科技又应该如何扩大市场规模？
1688：连接消费互联网与产业互联网,FDC-23006-1X-CC,1688.com,doi.org/10.12156/FUDAN.CASE202300601,综合管理,互联网/信息/通讯,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2023-07-13,伏啸,李玲芳，陈丽梅，蔡玉妃，张洁友,中文,"电商,供应链,一件代发,平台,消费互联网,产业互联网",数字中国,15,12,1688是阿里旗下专注国内批发业务的平台，起步时间早，汇聚了大量工厂，货源种类齐全，被业界称为“中国电商的源头货盘”。本案例复盘了1688如何从最初的信息撮合平台发展成为电商交易平台，进而成为连接消费互联网与产业互联网的营销平台，并提出企业面临的新挑战，即面对后疫情时代消费模式的巨大改变和竞争格局的动态变化，1688如何应对激烈的竞争，快速适应需求变化，把握新的发展机会？
埃夫特机器人的“换道超车”之路,FDC-21011-1X-CC,埃夫特智能装备股份有限公司,doi.org/10.12156/FUDAN.CASE202101101,战略,高端装备,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2021-06-11,宁钟,张洁友，陆泽天,中文,"共享智能工厂,产业链,技术收购,创新,换道超车,商业模式","科创,数字中国",13,15,"作为本土机器人领域的创业公司，埃夫特通过海外技术收购、本土研发中心消化到向国内通用行业集成应用的实践，发掘了一种新的商业模式——智能共享工厂，并且在家具产业城江西赣州南康落地。随着未来机器人在广大传统领域渗透率的提高，埃夫特希望通过智能共享工厂这种 “换道超车”发展模式，开辟一条国产机器人后来居上的新路径。
"
上海数据交易中心：突破数据生产要素的价值瓶颈,FDC-21012-1X-CC,上海数据交易中心,doi.org/10.12156/FUDAN.CASE202101201,"经济,战略,信息技术",互联网/信息/通讯,复旦大学管理学院,标准案例,MBA,2021-06-29,窦一凡,尹文怡,中文,"数据交易,跨企业流通,生产要素,平台","科创,数字中国",10,18,作为中国数据交易领域先行先试的领跑企业之一，上海数据交易中心成立于2016年，其成立背景和初衷是希望推动数据的跨企业流通，打破“数据孤岛”现象。然而，该中心建立4年多以来，数据交易市场的交易体量和企业会员的增长并未达到预期。平台上的企业在参与市场交易当中较为犹豫，开放的市场并未激发出足够多的企业交易热情。数据的交易市场究竟应当如何才能繁荣发展？
中国“好孩子”开辟欧美市场,FDC-21013-1X-CC,好孩子集团,doi.org/10.12156/FUDAN.CASE202101301,"战略,国际商务,市场营销",制造,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2021-06-29,张洁,张春依,中文,"中国品牌国际化,欧美市场,国际并购,战略,品牌错位,产品生命周期,邓宁OLI理论",科创,15,8,好孩子集团是全球童车和儿童安全座椅的领军企业，产品线覆盖高、中、低端产品，旗下构建有多个品牌。好孩子是最早走出去的本土民营企业之一，其海外拓展战略极具代表性。本案例围绕好孩子的国际化历程，重点描述其进军美国和欧洲两大市场的不同路径选择及实现三大母市场布局，可为本土企业的国际化战略提供借鉴。
罗博特科智能科技股份有限公司,FDC-21014-1X-CC,罗博特科智能科技股份有限公司,doi.org/10.12156/FUDAN.CASE202101401,"信息技术,运营与管理科学",新一代信息技术,复旦大学管理学院,标准案例,MBA,2021-06-29,窦一凡,马丽辉,中文,"智能制造,数字化转型,大数据,硬件,技术服务","科创,数字中国",13,11,"罗博特科是来自苏州的一家光伏制造设备和服务提供商，在国内光伏扩散设备和软件服务领域处于领先地位。身处“十四五""计划的开局之际，罗博特科希望依托智能制造技术引领光伏行业的数字化转型。但面临着来自生产商内部数字化团队、专业软件服务商和互联网大厂的多方夹击，罗博特科亟需确立自身的竞争优势。"
蚂蚁链：破局产业数字化,FDC-21015-1X-CC,蚂蚁集团,doi.org/10.12156/FUDAN.CASE202101501,"经济,信息技术",新一代信息技术,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2021-07-30,卢向华,黄逸雨，张洁友,中文,"区块链,数字化转型,技术创新,创业,产业升级","科创,数字中国",15,14,蚂蚁链定位于成为数字经济基础设施、开放底层平台能力的生态建设者，以期为不同场景提供通用解决框架方案。本案例还原了蚂蚁链从单链技术到跨链连接，建立区块链即服务（BaaS）平台，以及逐步完善蚂蚁链生态的发展历程。尽管蚂蚁链已为不同行业提供有效的解决方案，但距离其所设想的生态建设目标道阻且长。蚂蚁链如何保持技术研发优势，加速区块链技术与产业的深度结合，是其面临的重要挑战。
快手：记录世界记录你,FDC-21016-1X-CC,北京快手科技,doi.org/10.12156/FUDAN.CASE202101601,战略,互联网/信息/通讯,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2021-07-30,王有为,张洁友,中文,"短视频社区,技术,价值观,竞争,商业模式",科创,17,15,快手诞生于2011年，最初是一款用来制作GIF图片的手机应用。2013年，快手从图片工具向短视频社区转型，成为用户记录和分享生活的平台。快手的直接竞争对手是字节跳动旗下的抖音。截至2020年8月，抖音及旗下关联产品日活跃用户数已经突破6亿，大幅超越快手的3亿。双方从内容到商业化不仅存在着激烈的较量，同时又各取对方所长。面对起步晚但后来居上的抖音，快手应该如何应对?
凯京科技：从物流金融服务到物流平台运营,FDC-21017-1X-CC,凯京科技,doi.org/10.12156/FUDAN.CASE202101701,运营与管理科学,互联网/信息/通讯,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2021-08-20,陈祥锋,张洁友,中文,"物流,金融,平台,科技,数字化","科创,数字中国",19,11,凯京科技是一家快速发展、不断寻求新机会的本土创业公司，其发展经历了三个阶段：2015-2017年，专注于为中小物流企业提供金融服务；2017-2019年，为中小物流企业提供免费SaaS软件服务；2019年底，凯京科技希望借助金融和信息服务掌握的数据与科技能力，通过与区域三方物流伙伴合作，迅速进入物流主战场。从物流金融服务到物流平台运营，凯京正由金融为主业的轻资产向以物流为主业的重资产转型，其成长路径具有一定的典型性。
野小兽：如何继续野下去？,FDC-21018-1X-CC,野小兽,doi.org/10.12156/FUDAN.CASE202101801,运营与管理科学,艺术/娱乐/体育/休闲,复旦大学管理学院,标准案例,"MBA,EMBA,高层管理",2021-08-30,陈祥锋,张洁友,中文,"互联网+,服务运营,供应链,野小兽",数字中国,13,10,野小兽是一家本土创业公司，致力于搭建互动式家庭健身的平台，通过智能健身设备+直播课程内容两方面给用户带来全新体验，同时给公司带来双重收入。2020年突发的新冠疫情为野小兽的快速成长带来了机遇，但创始人骆少猛在考虑企业未来的发展：随着社会逐渐恢复常态化，家庭健身的热潮会不会如迅即消散？与此同时，面对Keep等强劲对手切入家庭健身赛道，野小兽在经历了不期而遇的“红利”后，接下来该何去何从？
